recipe_name,weight,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm,clusterID,energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag
"meetha chutney,sweet chutney",100,313.8776978,1.92971223,0.624676259,75.55856115,5.35323741,2.925395683,344.8920863,0.0,0.046467626,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"chole biryani,channa biryani,basmati rice with chickpeas",100,315.3516153,7.081277235,9.654936138,49.35756574,2.9127723519999997,1.8140646130000002,297.96018030000005,0.075326822,1.078917355,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
tava channa dal vada,100,315.61290319999995,14.06451613,10.09032258,42.91612903,10.69677419,2.030967742,1300.580645,0.11354838699999999,0.30309677399999996,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"wheat dosa with vegetables,godhumai dosa with veggies",100,316.7202118,16.09496028,2.7560105910000003,59.11699912,17.43327449,2.058923213,786.0661959,0.00776699,0.277495146,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
vegetable pulao,100,318.5466013,9.460168185,1.225395936,66.34392432,7.054099508999999,1.303587947,92.67133847,0.0,0.161226349,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"oats matar dosa,oats and green peas dosa",100,320.4166667,12.25703125,6.386666667,54.49010417,10.13802083,2.614791667,217.44270830000002,0.036666667,0.8124583329999999,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
combo chawal chhole,100,320.8665233,10.4303015,5.077809403,56.94244571,9.965401645,0.16657179,106.81657179999999,0.044587814,0.23684124,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"pesarettu,green gram dosa,pesarattu,green gram pancakes",100,326.5526769,12.92566038,10.68956368,45.86711085,8.946933962000001,3.119221698,465.67570750000004,0.176415094,0.628961085,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"oats n spring onion appe,oats and spring onion appe",100,326.755102,13.07755102,6.346938776,54.88367347,9.3,0.606122449,803.0897959,0.035918367,0.774081633,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
beetroot and sesame roti,100,328.5526316,8.799736842,15.78973684,42.04605263,7.484210526,0.239473684,2815.5,0.185263158,1.036605263,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
mix veg sagu,100,297.4069401,14.30536278,6.151419558,47.44479495,17.70536278,2.018927445,135.95205049999998,0.0,0.12429022099999999,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"moong soup,moong dal soup",100,328.6666667,20.44583333,5.186666667,50.49166667,6.858333332999999,0.21,1637.666667,0.073333333,0.19625,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
gujarati masala bhaat,100,295.7297297,8.978918919,3.046486486,57.37675676,6.7243243239999995,2.300540541,119.6702703,0.0,0.126378378,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"maharashtrian masala bhaat,maharashtrian style vegetable rice,brinjal 
rice,eggplant rice,baingan bhaat,baingan rice",100,287.8733459,8.97047259,1.121455577,59.5410775,6.264650284,2.252551985,192.5463138,0.00831758,0.15933270300000002,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"garlic chutney,lehsun ki chutney",100,148.5,6.4515,1.84,31.763,5.175,1.645,2238.25,0.0,0.3194,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"zero oil masoor dal,masoor dal without oil",100,214.301676,14.87240223,0.48603352,37.69251397,6.522905027999999,0.033519553,1084.312849,0.0,0.00298324,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
cabbage and dal parathas,100,244.2,9.556235294,4.883529412,43.65411765,6.9117647060000005,0.983529412,2054.682353,0.062117647000000005,0.171811765,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"methi alu paranthas,fenugreek potato flatbread,methi potato 
parantha,fenugreek alu parantha",100,249.05531910000002,5.940425532000001,11.28170213,33.41957447,5.181276596,0.139574468,1664.709787,0.17974468100000002,0.472851064,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
onion roti,100,249.672956,6.1594758910000005,10.5492348,35.17330189,5.670125786,0.290272537,1827.0230609999999,0.055345912000000004,0.14709434,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"pumpkin and chawli errissery,pumpkin and lobhia sabzi,pumpkin and 
lobhia errissery",100,257.74843549999997,18.53972466,1.404881101,42.94560701,0.18385481899999997,0.405256571,261.7359199,0.011013766999999999,0.030827284,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
